cell_line,drug,true_auc,pred_auc
A172,AZD3759,0.971628,9.6450e-01
SKNAS,AZD6738,0.762746,8.4121e-01
NCIH2342,Cediranib,0.901831,9.1813e-01
TE6,Cytarabine,0.976865,9.4215e-01
OE19,Telomerase-Inhibitor-IX,0.67485,7.4356e-01
KU812,Obatoclax-Mesylate,0.644268,5.2325e-01
TCCSUP,Sapitinib,0.967166,9.4108e-01
NCIH2405,Temozolomide,0.965452,9.7320e-01
LS180,Ribociclib,0.976893,9.6993e-01
BECKER,TW-37,0.805555,8.5954e-01
GA10,AZD5363,0.770549,8.3067e-01
FU97,Serdemetan,0.91295,9.4161e-01
LXF289,VE821,0.982016,9.3422e-01
NB4,Docetaxel,0.605147,6.3466e-01
NAMALWA,GNE-317,0.621367,6.6339e-01
HSC2,Uprosertib,0.840683,8.3424e-01
HS746T,L-Oxonoreleagnine,0.955983,9.7019e-01
ME1,Bosutinib,0.942051,9.5585e-01
FTC133,Uprosertib,0.856507,9.1039e-01
IPC298,SCH772984,0.534314,6.1249e-01
NCIH650,Alpelisib,0.982894,9.5968e-01
THP1,Alisertib,0.914613,6.6290e-01
TE441T,JNK-Inhibitor-VIII,0.965089,9.6972e-01
NCIH1092,Ruxolitinib,0.984851,9.7264e-01
KMRC1,Buparlisib,0.80374,8.7415e-01
8505C,Obatoclax-Mesylate,0.497452,7.2716e-01
BECKER,Trametinib,0.878743,9.1591e-01
NCIH69,AZD3759,0.982845,9.7074e-01
OV7,Oxaliplatin,0.938497,9.1154e-01
SKMEL1,EPZ004777,0.981945,9.7507e-01
OE19,MG-132,0.53128,5.1142e-01
HCC366,IOX2,0.985239,9.7453e-01
OCIAML3,Alisertib,0.777687,6.7672e-01
SKOV3,L-Oxonoreleagnine,0.952105,9.7279e-01
OVTOKO,Podophyllotoxin-bromide,0.808807,8.4333e-01
BT20,GW441756,0.991881,9.7563e-01
TE4,GSK2606414,0.978788,9.5718e-01
SIMA,PD0325901,0.872922,8.7716e-01
AMO1,ML323,0.896174,9.2082e-01
NCIH1915,VE-822,0.949166,9.3785e-01
AM38,LMP744,0.575179,6.3889e-01
DAUDI,Irinotecan,0.794821,8.3381e-01
SUDHL1,Epirubicin,0.197542,3.4789e-01
SW837,AZD7762,0.757188,7.9810e-01
TE10,PLX-4720,0.963889,9.4318e-01
HUPT3,Sabutoclax,0.644706,6.4683e-01
A172,AT13148,0.940601,9.1461e-01
MOLM16,Vismodegib,0.986747,9.5968e-01
AGS,YK-4-279,0.793731,7.5145e-01
NCIH211,EPZ004777,0.983402,9.7573e-01
HS683,Veliparib,0.983353,9.7031e-01
RAJI,Podophyllotoxin-bromide,0.797693,7.4389e-01
NCIH1568,Buparlisib,0.798322,8.7700e-01
NCIH522,PFI3,0.980301,9.7641e-01
SIGM5,Alpelisib,0.972132,8.9480e-01
BXPC3,SN-38,0.963833,8.7051e-01
SKMEL5,Gallibiscoquinazole,0.973852,9.7122e-01
GB1,LCL161,0.969617,9.6874e-01
JVM2,Bosutinib,0.638747,8.6917e-01
CAL851,AZ6102,0.93658,8.9647e-01
639V,EHT-1864,0.921205,9.5202e-01
EKVX,SGC-CBP30,0.950701,9.6523e-01
NCIH2171,SGC0946,0.98626,9.7398e-01
ASPC1,WIKI4,0.958268,9.3260e-01
U118MG,UMI-77,0.933295,9.1090e-01
G401,Sorafenib,0.834334,7.9426e-01
KYSE140,Zoledronate,0.985058,9.7469e-01
HOP62,POMHEX,0.87377,8.1519e-01
MDAMB157,Alpelisib,0.966164,9.5259e-01
NCIH2023,Methotrexate,0.794273,8.9987e-01
EKVX,Vismodegib,0.93505,9.7128e-01
C32,Oxaliplatin,0.979096,9.3191e-01
NMCG1,BMS-345541,0.9189,9.3779e-01
SKNDZ,BIBR-1532,0.896033,9.7423e-01
NOMO1,MK-2206,0.935476,8.7606e-01
HCC1395,PD0325901,0.966809,9.0682e-01
JVM3,YK-4-279,0.443828,5.8859e-01
NCIH292,GNE-317,0.447788,5.8010e-01
NCIH1651,SB216763,0.987227,9.7310e-01
UMUC3,Dasatinib,0.877944,8.6677e-01
DB,AZD5582,0.780717,7.7161e-01
HT1197,Tamoxifen,0.852804,9.4638e-01
NCIH1651,Leflunomide,0.870139,9.2973e-01
SUPT1,Afuresertib,0.737486,8.6009e-01
769P,AZD6738,0.721734,8.2667e-01
DANG,Nutlin-3a(-),0.982473,9.4592e-01
CORL23,Cytarabine,0.948639,9.3019e-01
NCIH209,Cediranib,0.852065,8.9782e-01
SW1116,NU7441,0.915891,9.4403e-01
BFTC905,Leflunomide,0.914415,8.6778e-01
MHHCALL4,BIBR-1532,0.989898,9.7004e-01
697,Veliparib,0.957979,9.7351e-01
FU97,AZD7762,0.799328,6.6609e-01
HS746T,BMS-754807,0.827891,8.0702e-01
H4,Entospletinib,0.888396,9.2132e-01
SNU387,Gefitinib,0.973495,9.5195e-01
SCC9,Ruxolitinib,0.972938,9.6736e-01
A253,Foretinib,0.857445,8.5065e-01
NCIH747,BMS-345541,0.877746,9.2307e-01
HCC1569,LMP744,0.839301,6.9133e-01
IGR37,MK-2206,0.925017,8.8935e-01
KMS12BM,Afuresertib,0.807329,8.2503e-01
HCC1143,BIBR-1532,0.969959,9.7537e-01
EFO27,Elephantin,0.822734,9.0948e-01
NCIH211,PRIMA-1MET,0.872691,8.4643e-01
SKMEL30,AT13148,0.960961,9.1516e-01
RPMI8226,AZD5153,0.558163,5.9724e-01
SUDHL5,Foretinib,0.640044,5.3889e-01
CADOES1,Wee1-Inhibitor,0.818596,8.0015e-01
JURLMK1,Romidepsin,0.729118,6.5685e-01
HCC1806,AZD6738,0.620772,8.3008e-01
TE11,JQ1,0.535568,8.0556e-01
CAL120,Tamoxifen,0.921685,9.3960e-01
KYM1,Venetoclax,0.964379,9.6532e-01
HT1197,Pyridostatin,0.951643,9.4579e-01
NCIH727,BI-2536,0.973482,8.6972e-01
HT144,Sorafenib,0.786846,8.6838e-01
BICR31,GSK1904529A,0.987818,9.6902e-01
UACC62,AZD2014,0.826962,8.0317e-01
NCIH1792,Vismodegib,0.987098,9.6953e-01
NCIH2172,Dactolisib,0.919976,9.4051e-01
SKES1,Paclitaxel,0.831162,8.1641e-01
EM2,Vismodegib,0.985968,9.6878e-01
HDLM2,L-Oxonoreleagnine,0.974385,9.7433e-01
KALS1,Zoledronate,0.981561,9.7589e-01
NCIH1341,GSK2578215A,0.983754,9.7354e-01
TE1,AZD2014,0.964423,8.4316e-01
TE4,I-BET-762,0.988767,9.3232e-01
CAMA1,ML323,0.936489,9.4714e-01
NCIH1963,ABT737,0.210886,5.6221e-01
HS766T,5-Fluorouracil,0.95938,9.3269e-01
SF126,Dasatinib,0.863089,7.4995e-01
DKMG,AZD7762,0.737664,7.1050e-01
NCIH1793,CZC24832,0.96426,9.7507e-01
G402,Wee1-Inhibitor,0.859383,7.7384e-01
UMUC3,Vinblastine,0.700382,7.3422e-01
GDM1,Alisertib,0.475228,6.7141e-01
KOPN8,JQ1,0.554733,5.5948e-01
CHP212,PD0325901,0.316504,5.0493e-01
KALS1,GDC0810,0.980243,9.7347e-01
SW1417,Sinularin,0.93301,9.6579e-01
EFO27,CZC24832,0.983694,9.7257e-01
CFPAC1,Vismodegib,0.976139,9.6953e-01
SKNDZ,LMP744,0.558961,4.9901e-01
NCIH1092,Dabrafenib,0.98338,9.6816e-01
OAW42,Alisertib,0.876433,8.5519e-01
OVCAR8,Obatoclax-Mesylate,0.648374,7.3672e-01
COLO680N,Dacarbazine,0.966705,9.7453e-01
HSC2,NU7441,0.8871,8.8815e-01
OVKATE,GNE-317,0.801198,8.4615e-01
NCIH1437,Cediranib,0.876388,8.3231e-01
AM38,Linsitinib,0.967222,9.4777e-01
SU8686,Methotrexate,0.815898,8.8685e-01
ESS1,Buparlisib,0.704627,8.1956e-01
NCIH1048,LGK974,0.915371,9.6940e-01
JHH4,AZD4547,0.936496,9.4743e-01
SW48,MIRA-1,0.973829,9.6690e-01
NCIH810,Foretinib,0.72193,7.5107e-01
SKMEL28,YK-4-279,0.858671,8.1143e-01
SKMES1,Oxaliplatin,0.986608,9.4516e-01
SKNFI,LJI308,0.946854,9.7142e-01
HCT116,AMG-319,0.982315,9.6523e-01
PSN1,SGC-CBP30,0.974878,9.7069e-01
SW48,BIBR-1532,0.971837,9.7194e-01
SCC15,AZD2014,0.913551,8.2868e-01
42MGBA,alpha-lipoic-acid,0.984992,9.7475e-01
CAKI1,Palbociclib,0.852171,8.9912e-01
MDAMB453,PFI3,0.972557,9.7210e-01
CORL23,GDC0810,0.947408,9.7293e-01
HS578T,RVX-208,0.891119,9.6091e-01
NALM6,GSK2578215A,0.976037,9.6676e-01
NCIH1650,XAV939,0.891761,9.6715e-01
A375,Doramapimod,0.968099,9.6509e-01
SKNSH,Trametinib,0.884556,7.9311e-01
SH4,Palbociclib,0.895267,9.3249e-01
KNS62,AZ960,0.934979,8.9670e-01
SNU387,AZ960,0.857838,8.6530e-01
HCC1419,Tamoxifen,0.941736,9.6205e-01
SW1417,Pictilisib,0.772374,8.2345e-01
AMO1,Acetalax,0.949409,9.2139e-01
SNU449,ABT737,0.886672,9.4205e-01
NCIH2009,Afatinib,0.831785,7.1164e-01
U118MG,Dactolisib,0.79067,8.5705e-01
QGP1,Dasatinib,0.976852,8.9924e-01
IGROV1,BMS-754807,0.713242,7.3460e-01
TE11,BI-2536,0.641672,7.1650e-01
MEWO,Ribociclib,0.932152,9.7373e-01
SUPB15,BMS-345541,0.913538,8.8823e-01
C2BBE1,PFI3,0.967016,9.7285e-01
RS411,Vinorelbine,0.605564,6.0392e-01
SCC4,Foretinib,0.792149,7.7495e-01
BV173,Tamoxifen,0.925938,9.3373e-01
22RV1,Avagacestat,0.95261,9.6268e-01
MFE296,AZD2014,0.929297,9.1581e-01
OVCAR4,Venetoclax,0.957818,9.7525e-01
C2BBE1,CCT007093,0.972256,9.7474e-01
TGBC11TKB,Selumetinib,0.861306,8.1056e-01
AU565,Sabutoclax,0.751399,5.4208e-01
CCK81,ABT737,0.843236,9.5865e-01
HS940T,Foretinib,0.743806,7.3051e-01
KARPAS422,Fulvestrant,0.980383,9.7523e-01
LS123,Crizotinib,0.8663,9.0996e-01
BECKER,Afatinib,0.895995,8.6997e-01
NCIH1963,Axitinib,0.742739,8.4035e-01
G402,Paclitaxel,0.878106,8.8438e-01
OE19,Vinorelbine,0.779796,8.6034e-01
HS683,AZ960,0.64391,7.9051e-01
NUDUL1,Bosutinib,0.856273,8.7997e-01
MOLM16,EPZ004777,0.948997,9.7089e-01
NOMO1,BI-2536,0.60755,6.0338e-01
KYSE140,Cisplatin,0.804609,9.4057e-01
NUGC3,Docetaxel,0.765426,8.2974e-01
PECAPJ15,Tozasertib,0.959201,8.6941e-01
UACC893,EHT-1864,0.897909,9.1973e-01
